id,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10
0,great,energy,soup,like,sugar,great,good,good,fruit,steaks
1,product,drink,good,br,food,like,like,like,dried,good
2,just,like,like,just,got,little,small,great,like,bagels
3,love,great,flavors,sugar,pasta,good,omaha,taste,noodles,time
4,flavor,just,product,taste,little,product,box,love,br,ve
5,cheerios,flavor,box,order,time,eat,taste,noodles,taste,price
6,honey,good,use,good,good,bars,product,just,really,omaha
7,nut,product,taste,blueberries,snacks,lunch,just,store,love,better
8,like,amazon,way,added,low,time,better,don,added,br
9,eat,drinks,texture,muffin,bagel,snack,steaks,really,great,free
10,box,best,package,amazon,high,love,buy,amazon,smell,great
11,oatmeal,hansen,pack,mix,products,taste,chipss,pack,gluten,taste
12,plain,apple,better,buy,protein,variety,package,make,easy,product
13,good,buy,servings,blueberry,blood,really,ll,box,texture,ordered
14,soup,don,34,smell,diabetic,don,soup,got,bad,burgers
15,bagels,taste,son,texture,like,tasty,filets,price,product,disappointed
16,water,day,crumbs,muffins,best,high,burgers,time,free,love
17,hot,better,taking,love,bag,flavor,flavor,food,check,quality
18,breakfast,natural,different,real,lot,healthy,baked,kids,eating,amazon
19,price,love,tried,chips,just,just,size,eat,calories,nice
20,amazon,price,spaghetti,use,need,happy,beef,buy,bag,bagel
21,healthy,make,noodles,best,doesn,filling,money,grocery,good,shipping
22,low,stores,add,bought,look,fruit,meal,flavor,little,delicious
23,bought,tasting,school,really,people,make,use,try,sugar,make
24,vegan,bars,does,kids,car,amazon,don,tried,time,eating
25,fat,easy,best,don,day,think,broken,free,delicious,gluten
26,really,nice,got,tasting,kind,soup,potatoes,easy,don,food
27,cereal,red,fruit,thing,father,kids,okay,applesauce,try,best
28,flavors,really,order,mouth,grown,perfect,save,eating,package,feel
29,did,used,come,dont,buy,chipss,thought,way,tasted,years
